question_id,local_question,en_question,local_answer_valid,en_answer_valid,country,control_prompts,persona_prompts,language_prompts,control_output,persona_output,language_output
Ji-ko-24,¿Cuál es la instalación recreativa preferida por los niños en España?,What is the most preferred recreational facility among children in Spain?,"['parque de bolas', 'parques de bolas', 'parque infantil', 'parque convencional', 'parque de atracciones', 'parques de atracciones', 'parque warner madrid', 'los recreativos', 'camas elásticas']","['ball pit', 'ball pits', 'playground', 'conventional park', 'amusement park', 'amusement parks', 'warner park madrid', 'the arcades', 'trampolines']",Spain,What is the most preferred recreational facility among children in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is the most preferred recreational facility among children in Spain? Provide a single answer without any explanations.",¿Cuál es la instalación recreativa preferida por los niños en España? Provide a single answer without any explanations.,Parks and playgrounds.,Parques de atracciones.,Parques de atracciones y parques acuáticos.
Ji-ko-25,¿Cuáles son las festividades relacionadas con la familia en España?,What are the family-related holidays in Spain?,"['navidad', 'navidades', 'bautizo', 'dia de reyes', 'fin de año', 'cumpleaños', 'comunión', 'boda']","['christmas', 'baptism', ""three kings' day"", 'end of year', 'birthday', 'communion', 'wedding']",Spain,What are the family-related holidays in Spain? Provide a single answer without any explanations.,"As a person from Spain, what are the family-related holidays in Spain? Provide a single answer without any explanations.",¿Cuáles son las festividades relacionadas con la familia en España? Provide a single answer without any explanations.,"Christmas, Easter, and La Tomatina.","La Tomatina, La Jamón, and Día de los Muertos.","Las festividades familiares más importantes en España incluyen la Navidad, la Semana Santa, el Día de la Familia (1 de mayo), la San Juan (24 y 31 de junio), y la fiesta de la Asunción (15 de agosto"
Ji-ko-26,¿Cuáles son los hitos clave asociados con la independencia de los niños de sus padres en la sociedad española?,What are the key milestones associated with children's independence from their parents in Spain's society?,"['pagar alquiler propio', 'inicio de la educación formal']","['pay own rent', 'start of formal education']",Spain,What are the key milestones associated with children's independence from their parents in Spain's society? Provide a single answer without any explanations.,"As a person from Spain, what are the key milestones associated with children's independence from their parents in Spain's society? Provide a single answer without any explanations.",¿Cuáles son los hitos clave asociados con la independencia de los niños de sus padres en la sociedad española? Provide a single answer without any explanations.,"The key milestones associated with children's independence from their parents in Spain's society include: early independence in education, delayed independence in housing, delayed independence in employment, delayed independence in financial management, and delayed independence in personal relationships.","The key milestones associated with children's independence from their parents in Spain's society include:  
1. **Autonomy in education** (transition from school to university or vocational training).  
2. **Financial independence** (starting a job, rent, or","La independencia de los niños de sus padres en la sociedad española se ha visto influenciada por cambios sociales, económicos y culturales, como la expansión de la educación formal, el aumento de la participación femenina en el mercado laboral, la evolución de las estructuras"
Ji-ko-27,¿Cuál es el regalo habitual que se da al visitar a los padres ancianos en España?,What is the common gift you give when visiting elderly parents in Spain?,"['bombones', 'chocolate', 'flores', 'fotos', 'vino']","['chocolates', 'chocolate', 'flowers', 'photos', 'wine']",Spain,What is the common gift you give when visiting elderly parents in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is the common gift you give when visiting elderly parents in Spain? Provide a single answer without any explanations.",¿Cuál es el regalo habitual que se da al visitar a los padres ancianos en España? Provide a single answer without any explanations.,A small bouquet of flowers.,A small potted plant or a fresh flower arrangement.,Un abrazo y un beso en la frente.
Ji-ko-28,¿Cuál es el primer día que se celebra después de que nace un niño en España?,When is the first day that people celebrate after a child is born in Spain?,"['cumpleaños', 'día del bautizo', 'bautizo', 'día del nacimiento']","['birthday', 'baptism day', 'baptism', 'day of birth']",Spain,When is the first day that people celebrate after a child is born in Spain? Provide a single answer without any explanations.,"As a person from Spain, when is the first day that people celebrate after a child is born in Spain? Provide a single answer without any explanations.",¿Cuál es el primer día que se celebra después de que nace un niño en España? Provide a single answer without any explanations.,The first day people celebrate after a child is born in Spain is Christmas Eve.,The first day people celebrate after a child is born in Spain is Christmas Day.,El primer día que se celebra después de que nace un niño en España es el **Día del Niño** (15 de mayo).
Ji-ko-29,¿Qué cumpleaños se celebra con mayor pompa en la sociedad española?,Which age's birthday is celebrated the most grandly in Spain's society?,"['18 años', '18', 'el 18 cumpleaños', 'aniversario']","['18 years old', '18', 'the 18th birthday', 'anniversary']",Spain,Which age's birthday is celebrated the most grandly in Spain's society? Provide a single answer without any explanations.,"As a person from Spain, which age's birthday is celebrated the most grandly in Spain's society? Provide a single answer without any explanations.",¿Qué cumpleaños se celebra con mayor pompa en la sociedad española? Provide a single answer without any explanations.,80 years,50th birthday,"El 6 de enero, el Día de Reyes."
Ji-ko-31,¿Dónde suelen estudiar para los exámenes los alumnos de secundaria y bachillerato en España?,Where do middle and high school students in Spain usually study for exams?,"['biblioteca', 'en casa', 'casa', 'instituto']","['library', 'at home', 'house', 'institute']",Spain,Where do middle and high school students in Spain usually study for exams? Provide a single answer without any explanations.,"As a person from Spain, where do middle and high school students in Spain usually study for exams? Provide a single answer without any explanations.",¿Dónde suelen estudiar para los exámenes los alumnos de secundaria y bachillerato en España? Provide a single answer without any explanations.,Schools and educational centers.,Universities.,En las aulas de la escuela secundaria y bachillerato.
Ji-ko-33,¿Adónde suelen ir los estudiantes de secundaria en España después de cenar?,Where do high school students in Spain usually go after dinner?,"['a su casa', 'se quedan en casa', 'a casa', 'a una discoteca', 'a un parque', 'a ver la tv', 'a la cama']","['to your house', 'house', 'they stay at home', 'home', 'to a nightclub', 'nightclub', 'to a park', 'park', 'to watch tv', 'to bed']",Spain,Where do high school students in Spain usually go after dinner? Provide a single answer without any explanations.,"As a person from Spain, where do high school students in Spain usually go after dinner? Provide a single answer without any explanations.",¿Adónde suelen ir los estudiantes de secundaria en España después de cenar? Provide a single answer without any explanations.,They often hang out with friends at a local bar or restaurant.,To a restaurant or a bar.,A los estudiantes de secundaria en España suelen ir a casa después de cenar.
Ji-ko-34,¿Cómo van al colegio los alumnos de primaria en España?,How do elementary school students in Spain go to school?,"['autobús', 'autocar', 'autobus escolar', 'en autobús', 'en coche', 'coche', 'andando', 'a pie', 'con sus padres']","['bus', 'coach', 'school bus', 'by bus', 'by car', 'car', 'walking', 'on foot', 'with his/her/their parents']",Spain,How do elementary school students in Spain go to school? Provide a single answer without any explanations.,"As a person from Spain, how do elementary school students in Spain go to school? Provide a single answer without any explanations.",¿Cómo van al colegio los alumnos de primaria en España? Provide a single answer without any explanations.,Elementary school students in Spain typically start at the age of 6 and attend school for 6 years.,Elementary school students in Spain typically start at age 6 and attend school for 6 years.,Los alumnos de primaria en España van al colegio en autobuses o en transporte escolar proporcionado por la escuela.
Ji-ko-35,¿Cuál es la forma más común de educación privada en España?,What is the most common form of private education in Spain?,"['colegio privado', 'colegios privados', 'concertada', 'colegios concertados', 'colegio mayor', 'universidad privada']","['private school', 'private schools', 'semi-private', 'charter school', 'hall of residence', 'private university']",Spain,What is the most common form of private education in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is the most common form of private education in Spain? Provide a single answer without any explanations.",¿Cuál es la forma más común de educación privada en España? Provide a single answer without any explanations.,Private education in Spain is most commonly represented by international schools and private schools.,Private education in Spain is most commonly represented by international schools and private schools.,Colegios privados.
Ji-ko-36,¿A qué academia o instituto educativo privado de qué asignatura asisten más frecuentemente los estudiantes de secundaria o bachillerato en España?,Which subject’s academy/private educational institute do middle or high students most frequently attend in Spain?,"['ingles', 'academia de ingles', 'academia de preparación para la selectividad', 'empresariales', 'matemáticas', 'química', 'colegio del pilar']","['english', 'english academy', 'college entrance exam preparation academy', 'business', 'mathematics', 'math', 'chemistry', 'pilar school']",Spain,Which subject’s academy/private educational institute do middle or high students most frequently attend in Spain? Provide a single answer without any explanations.,"As a person from Spain, which subject’s academy/private educational institute do middle or high students most frequently attend in Spain? Provide a single answer without any explanations.",¿A qué academia o instituto educativo privado de qué asignatura asisten más frecuentemente los estudiantes de secundaria o bachillerato en España? Provide a single answer without any explanations.,Middle or high school.,Universidad Complutense de Madrid.,Instituto de bachillerato.
Ji-ko-37,¿Qué tipo de ropa llevan los estudiantes de secundaria y bachillerato al colegio en España?,What type of clothing do middle and high school students wear to school in Spain?,"['informal', 'ropa de diario', 'chándal de uniforme', 'chándal deportivo']","['informal', 'everyday clothes', 'daily clothes', 'uniform tracksuit', 'sports tracksuit']",Spain,What type of clothing do middle and high school students wear to school in Spain? Provide a single answer without any explanations.,"As a person from Spain, what type of clothing do middle and high school students wear to school in Spain? Provide a single answer without any explanations.",¿Qué tipo de ropa llevan los estudiantes de secundaria y bachillerato al colegio en España? Provide a single answer without any explanations.,"Casual clothing, including jeans, t-shirts, and sneakers, is common for middle and high school students in Spain.","Casual clothing, including jeans, t-shirts, and sometimes a jacket, is common for middle and high school students in Spain.","Los estudiantes de secundaria y bachillerato en España suelen llevar ropa cómoda y práctica, como camisetas, pantalones vaqueros, jeans, faldas, vestidos casuales, y zapatillas deportivas o zapatos cómodos. También es común el"
Ji-ko-38,¿Qué carrera se considera la más difícil para ser admitido en España?,Which major is considered the most difficult to gain admission to in Spain?,"['medicina', 'telecomunicaciones', 'ingeniería civil']","['medicine', 'telecommunications', 'civil engineering']",Spain,Which major is considered the most difficult to gain admission to in Spain? Provide a single answer without any explanations.,"As a person from Spain, which major is considered the most difficult to gain admission to in Spain? Provide a single answer without any explanations.",¿Qué carrera se considera la más difícil para ser admitido en España? Provide a single answer without any explanations.,Engineering.,Engineering.,Medicina.
Ji-ko-39,¿Cuál es el instrumento musical más comúnmente aprendido por los estudiantes de primaria en España?,What is the most commonly learned musical instrument by elementary school students in Spain?,['flauta'],['flute'],Spain,What is the most commonly learned musical instrument by elementary school students in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is the most commonly learned musical instrument by elementary school students in Spain? Provide a single answer without any explanations.",¿Cuál es el instrumento musical más comúnmente aprendido por los estudiantes de primaria en España? Provide a single answer without any explanations.,Guitar,Guitar,El piano.
Ji-ko-40,¿Qué suelen hacer los estudiantes de secundaria durante el recreo en los colegios de España?,What do high school students typically do during break time in schools in Spain?,"['comer', 'comer bocadillo', 'almorzar', 'jugar', 'jugar al fútbol', 'charlar', 'hablar', 'fumar', 'ir aseo', 'jugar a fútbol']","['to eat', 'eat sandwich', 'to have lunch', 'play', 'play soccer', 'play football', 'chat', 'to speak', 'to smoke', 'go to toilet', 'play soccer', 'play football']",Spain,What do high school students typically do during break time in schools in Spain? Provide a single answer without any explanations.,"As a person from Spain, what do high school students typically do during break time in schools in Spain? Provide a single answer without any explanations.",¿Qué suelen hacer los estudiantes de secundaria durante el recreo en los colegios de España? Provide a single answer without any explanations.,"High school students in Spain typically hang out with friends, play sports, or relax in parks or cafes during break time.","High school students in Spain typically play sports, hang out with friends, or relax in parks or on beaches during break time.","Los estudiantes de secundaria suelen jugar al fútbol, al baloncesto, al voleibol, hacer picnics, conversar con amigos, leer, escuchar música o simplemente relajarse en los patios del colegio."
Ji-ko-41,¿Qué tipo de zapatos usan los estudiantes en las escuelas en España?,What kind of shoes do students wear in schools in Spain?,"['deportivas', 'zapatillas deporte', 'zapatillas deportivas', 'zapatos para el colegio', 'mocasines']","['sports', 'sports shoes', 'school shoes', 'moccasins']",Spain,What kind of shoes do students wear in schools in Spain? Provide a single answer without any explanations.,"As a person from Spain, what kind of shoes do students wear in schools in Spain? Provide a single answer without any explanations.",¿Qué tipo de zapatos usan los estudiantes en las escuelas en España? Provide a single answer without any explanations.,Sneakers and casual shoes.,Sandals or flip-flops.,Zapatillas deportivas.
Ji-ko-42,¿Cuáles son las asignaturas obligatorias en la prueba de acceso a la universidad en España?,What are the required subjects in Spain's university entrance exam?,"['historia', 'lengua', 'castellano', 'lengua y literatura', 'matematicas', 'inglés', 'historia de la filosofía']","['history', 'language', 'castilian', 'spanish', 'language and literature', 'mathematics', 'english', 'history of philosophy']",Spain,What are the required subjects in Spain's university entrance exam? Provide a single answer without any explanations.,"As a person from Spain, what are the required subjects in Spain's university entrance exam? Provide a single answer without any explanations.",¿Cuáles son las asignaturas obligatorias en la prueba de acceso a la universidad en España? Provide a single answer without any explanations.,"Mathematics, Spanish, English, and one other subject.","Biology, Chemistry, Physics, History, Literature, Social Sciences, Mathematics, and Foreign Language.","Matemáticas, Lengua y Literatura, y una materia de opción libre."
Ji-ko-44,¿Qué zona (dentro de una ciudad) en España tiene el mayor fervor académico?,Which region (within a city) in Spain has the highest academic fervor?,"['campus universitario.', 'universidad', 'donde se encuentra la universidad', 'la zona donde están los centros educativos']","['university campus', 'university', 'where is the university located', 'the area where the educational centers are']",Spain,Which region (within a city) in Spain has the highest academic fervor? Provide a single answer without any explanations.,"As a person from Spain, which region (within a city) in Spain has the highest academic fervor? Provide a single answer without any explanations.",¿Qué zona (dentro de una ciudad) en España tiene el mayor fervor académico? Provide a single answer without any explanations.,Madrid.,Madrid.,El Barrio de Salamanca en Madrid.
Ji-ko-45,¿Qué es lo que más esperan las personas de los festivales universitarios en España?,What do people look forward to the most at university festivals in Spain?,"['alcohol', 'emborracharse', 'alcohol barato', 'la fiesta', 'mucha fiesta', 'los artistas']","['alcohol', 'to get drunk', 'cheap alcohol', 'party', 'the party', 'a lot of partying', 'the artists']",Spain,What do people look forward to the most at university festivals in Spain? Provide a single answer without any explanations.,"As a person from Spain, what do people look forward to the most at university festivals in Spain? Provide a single answer without any explanations.",¿Qué es lo que más esperan las personas de los festivales universitarios en España? Provide a single answer without any explanations.,The vibrant cultural performances and lively music.,The vibrant cultural performances and traditional music.,"Las personas esperan música en vivo, comida y bebida, actividades culturales y sociales, y un ambiente festivo y alegre."
Jo-sp-01,¿Cuál es el segundo deporte más popular en España?,What is the second most popular sport in Spain?,['baloncesto'],['basketball'],Spain,What is the second most popular sport in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is the second most popular sport in Spain? Provide a single answer without any explanations.",¿Cuál es el segundo deporte más popular en España? Provide a single answer without any explanations.,Football.,Fútbol,Fútbol.
Jo-sp-02,¿Cuál es el deporte más popular jugado sin pelota en España?,What is the most popular sport played without a ball in Spain?,"['ajedrez', 'natación', 'atletismo', 'formula 1', 'ciclismo']","['chess', 'swimming', 'athletics', 'formula 1', 'cycling']",Spain,What is the most popular sport played without a ball in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is the most popular sport played without a ball in Spain? Provide a single answer without any explanations.",¿Cuál es el deporte más popular jugado sin pelota en España? Provide a single answer without any explanations.,Chess.,Chess.,Pádel.
Jo-sp-09,¿Qué deportes están más asociados con la clase alta en España?,What sports are most associated with the upper class in Spain?,"['golf', 'padel', 'vela', 'casino', 'aviacion', 'tenis', 'polo', 'hipica']","['golf', 'padel', 'candle', 'casino', 'aviation', 'tennis', 'polo', 'equestrian']",Spain,What sports are most associated with the upper class in Spain? Provide a single answer without any explanations.,"As a person from Spain, what sports are most associated with the upper class in Spain? Provide a single answer without any explanations.",¿Qué deportes están más asociados con la clase alta en España? Provide a single answer without any explanations.,Golf.,Golf.,"Golf, tenis y polo."
Jo-sp-13,¿Cuál es el deporte acuático más popular en España?,What is the most popular water sport in Spain?,"['nadar', 'natación', 'waterpolo', 'surf', 'buceo']","['swim', 'swimming', 'water polo', 'surf', 'diving']",Spain,What is the most popular water sport in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is the most popular water sport in Spain? Provide a single answer without any explanations.",¿Cuál es el deporte acuático más popular en España? Provide a single answer without any explanations.,Surfing.,Surfing.,Surf.
Jo-sp-14,¿Cuál es el deporte mental más popular en España?,What is the most popular mental sport in Spain?,"['ajedrez', 'futbol']","['chess', 'soccer', 'football']",Spain,What is the most popular mental sport in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is the most popular mental sport in Spain? Provide a single answer without any explanations.",¿Cuál es el deporte mental más popular en España? Provide a single answer without any explanations.,Chess.,Chess.,La lotería.
Jo-sp-18,"¿Cuántos días de vacaciones al año recibe un trabajador estándar en España? (Porporciona la respuesta en números (por ejemplo, 12).)","How many holiday days per year does a standard worker gets in Spain? (Provide Arabic numerals (e.g., 12) only.)","['30', '22']","['30', '22']",Spain,"How many holiday days per year does a standard worker gets in Spain? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","As a person from Spain, how many holiday days per year does a standard worker gets in Spain? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","¿Cuántos días de vacaciones al año recibe un trabajador estándar en España? (Porporciona la respuesta en números (por ejemplo, 12).) Provide a single answer without any explanations.",28,2.5,2.5
Jo-sp-19,¿Qué región de España ha estado tradicionalmente asociada con la agricultura?,What region in Spain has been traditionally associated with agriculture?,"['andalucía', 'extremadura', 'galicia', 'castilla y leon']","['andalusia', 'extremadura', 'galicia', 'castile and león']",Spain,What region in Spain has been traditionally associated with agriculture? Provide a single answer without any explanations.,"As a person from Spain, what region in Spain has been traditionally associated with agriculture? Provide a single answer without any explanations.",¿Qué región de España ha estado tradicionalmente asociada con la agricultura? Provide a single answer without any explanations.,Andalusia.,Andalusia.,La región de Andalucía.
Jo-sp-21,"¿A qué hora, si la hay, suele la gente salir del trabajo para comer en España? (Indicar en formato HH:MM (por ejemplo, 18:00, 09:00).)","What time, if any, do people usually leave work for lunch in Spain? (Provide in HH:MM format (e.g., 18:00, 09:00).)","['14:00', '13:30', '15:00', '16:00']","['14:00', '13:30', '15:00', '16:00']",Spain,"What time, if any, do people usually leave work for lunch in Spain? (Provide in HH:MM format (e.g., 18:00, 09:00).) Provide a single answer without any explanations.","As a person from Spain, what time, if any, do people usually leave work for lunch in Spain? (Provide in HH:MM format (e.g., 18:00, 09:00).) Provide a single answer without any explanations.","¿A qué hora, si la hay, suele la gente salir del trabajo para comer en España? (Indicar en formato HH:MM (por ejemplo, 18:00, 09:00).) Provide a single answer without any explanations.",1:30,12:30,1:00
Jo-sp-31,"¿A qué hora suelen salir los estudiantes de secundaria del colegio en España? (Indica en formato HH:MM (por ejemplo, 18:00, 09:00).)","What time do high school students tend to leave school in Spain? (Provide in HH:MM format (e.g., 18:00, 09:00).)","['14:30', '17:00', '14:00', '13:00', '16:00']","['14:30', '17:00', '14:00', '13:00', '16:00']",Spain,"What time do high school students tend to leave school in Spain? (Provide in HH:MM format (e.g., 18:00, 09:00).) Provide a single answer without any explanations.","As a person from Spain, what time do high school students tend to leave school in Spain? (Provide in HH:MM format (e.g., 18:00, 09:00).) Provide a single answer without any explanations.","¿A qué hora suelen salir los estudiantes de secundaria del colegio en España? (Indica en formato HH:MM (por ejemplo, 18:00, 09:00).) Provide a single answer without any explanations.",17:30,17:30,17:00
Jo-sp-32,¿Qué deporte suelen practicar los alumnos de primaria en los colegios de España?,What sport do elementary school students tend to practice at school in Spain?,"['fútbol', 'futbol', 'básquet', 'baloncesto', 'voleibol', 'gimnasia']","['soccer', 'football', 'basketball', 'volleyball', 'gymnastics']",Spain,What sport do elementary school students tend to practice at school in Spain? Provide a single answer without any explanations.,"As a person from Spain, what sport do elementary school students tend to practice at school in Spain? Provide a single answer without any explanations.",¿Qué deporte suelen practicar los alumnos de primaria en los colegios de España? Provide a single answer without any explanations.,Football.,Football,La natación.
Jo-sp-36,"¿Cuántas semanas duran las vacaciones de verano en las escuelas primarias de España? (Proporciona la respuesta en números (por ejemplo, 7, 8).)","How long (in weeks) are summer vacations at elementary schools in Spain? (Provide in Arabic numerals (e.g., 7, 8) only.)","['12', '8', '10']","['12', '8', '10']",Spain,"How long (in weeks) are summer vacations at elementary schools in Spain? (Provide in Arabic numerals (e.g., 7, 8) only.) Provide a single answer without any explanations.","As a person from Spain, how long (in weeks) are summer vacations at elementary schools in Spain? (Provide in Arabic numerals (e.g., 7, 8) only.) Provide a single answer without any explanations.","¿Cuántas semanas duran las vacaciones de verano en las escuelas primarias de España? (Proporciona la respuesta en números (por ejemplo, 7, 8).) Provide a single answer without any explanations.",4,4,4
Jo-sp-37,"¿Cuántas semanas duran las vacaciones de verano en las universidades de España? (Proporciona la respuesta en números (por ejemplo, 7, 8)).","How long (in weeks) are summer vacations at universities in Spain? (Provide in Arabic numerals (e.g., 7, 8) only.)","['8', '12', '10']","['8', '12', '10']",Spain,"How long (in weeks) are summer vacations at universities in Spain? (Provide in Arabic numerals (e.g., 7, 8) only.) Provide a single answer without any explanations.","As a person from Spain, how long (in weeks) are summer vacations at universities in Spain? (Provide in Arabic numerals (e.g., 7, 8) only.) Provide a single answer without any explanations.","¿Cuántas semanas duran las vacaciones de verano en las universidades de España? (Proporciona la respuesta en números (por ejemplo, 7, 8)). Provide a single answer without any explanations.",4,4,8
Jo-sp-39,"¿A qué edad comienza la educación primaria en España? (Proporciona la respuesta en números (por ejemplo, 7, 8)).","At what age does elementary education begin in Spain? (Provide in Arabic numerals (e.g., 7, 8) only.)","['6', '5', '4']","['6', '5', '4']",Spain,"At what age does elementary education begin in Spain? (Provide in Arabic numerals (e.g., 7, 8) only.) Provide a single answer without any explanations.","As a person from Spain, at what age does elementary education begin in Spain? (Provide in Arabic numerals (e.g., 7, 8) only.) Provide a single answer without any explanations.","¿A qué edad comienza la educación primaria en España? (Proporciona la respuesta en números (por ejemplo, 7, 8)). Provide a single answer without any explanations.",6,6,6
Jo-sp-43,"¿Cuántos idiomas se estudian en la educación primaria además del idioma oficial de España? (Proporciona la respuesta en números (por ejemplo, 7, 8))","How many languages are studied in elementary education besides Spain's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)","['2', '1', '3']","['2', '1', '3']",Spain,"How many languages are studied in elementary education besides Spain's official language? (Provide in Arabic numerals (e.g., 7, 8) only.) Provide a single answer without any explanations.","As a person from Spain, how many languages are studied in elementary education besides Spain's official language? (Provide in Arabic numerals (e.g., 7, 8) only.) Provide a single answer without any explanations.","¿Cuántos idiomas se estudian en la educación primaria además del idioma oficial de España? (Proporciona la respuesta en números (por ejemplo, 7, 8)) Provide a single answer without any explanations.",3,3,5
Jod-ch-01,¿Qué utensilios de comida se utilizan comúnmente en España?,What eating utensils do people commonly used in Spain?,"['tenedor', 'cuchara', 'cuchillo', 'platos']","['fork', 'spoon', 'knife', 'dishes']",Spain,What eating utensils do people commonly used in Spain? Provide a single answer without any explanations.,"As a person from Spain, what eating utensils do people commonly used in Spain? Provide a single answer without any explanations.",¿Qué utensilios de comida se utilizan comúnmente en España? Provide a single answer without any explanations.,Forks and spoons.,"Plates, forks, and knives.","Cuchara, tenedor, cuchillo, plato, cubiertos para ensalada, cucharilla para postre, cucharita para sopa."
Jod-ch-04,¿Qué bebida no-alcohólica le suele gustar a la gente en España?,What soft drink do people in Spain like to have?,"['coca cola', 'aquarius', 'café']","['coke', 'coca cola', 'aquarius', 'coffee']",Spain,What soft drink do people in Spain like to have? Provide a single answer without any explanations.,"As a person from Spain, what soft drink do people in Spain like to have? Provide a single answer without any explanations.",¿Qué bebida no-alcohólica le suele gustar a la gente en España? Provide a single answer without any explanations.,Agua Fresca,Agua Fresca,Agua con gas
Jod-ch-06,¿Cuál es el alcohol tradicional más popular en España?,What is the most popular traditional alcohol in Spain?,"['vino', 'sidra', 'ron']","['wine', 'cider', 'rum']",Spain,What is the most popular traditional alcohol in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is the most popular traditional alcohol in Spain? Provide a single answer without any explanations.",¿Cuál es el alcohol tradicional más popular en España? Provide a single answer without any explanations.,Sangria,Tinto de Verano.,Vino tinto.
Jod-ch-07,"¿Cuánto tiempo (en horas) tardan las personas en España en promedio para cenar en un restaurante? (Porporciona la respuesta en números (p. ej., 2, 3.5).)","How long (in hours) on average does it take for people in Spain to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","['2', '1', '3']","['2', '1', '3']",Spain,"How long (in hours) on average does it take for people in Spain to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.) Provide a single answer without any explanations.","As a person from Spain, how long (in hours) on average does it take for people in Spain to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.) Provide a single answer without any explanations.","¿Cuánto tiempo (en horas) tardan las personas en España en promedio para cenar en un restaurante? (Porporciona la respuesta en números (p. ej., 2, 3.5).) Provide a single answer without any explanations.",3.5,3.5,2.5
Jod-ch-09,"¿A qué hora suelen cenar las personas en España? (Indica en formato HH:MM (por ejemplo, 18:00, 09:00).)","What time do people usually have dinner in Spain? (Provide in HH:MM format (e.g., 18:00, 09:00).)","['21:00', '20:00', '22:00', '22:30']","['21:00', '20:00', '22:00', '22:30']",Spain,"What time do people usually have dinner in Spain? (Provide in HH:MM format (e.g., 18:00, 09:00).) Provide a single answer without any explanations.","As a person from Spain, what time do people usually have dinner in Spain? (Provide in HH:MM format (e.g., 18:00, 09:00).) Provide a single answer without any explanations.","¿A qué hora suelen cenar las personas en España? (Indica en formato HH:MM (por ejemplo, 18:00, 09:00).) Provide a single answer without any explanations.",20:00,21:00,8:00
Jod-ch-12,¿Qué tipo de sopa les gusta tomar a las personas de España?,What kind of soup do people from Spain like to have?,"['sopa de cocido', 'sopa de fídeos', 'sopa de fideos', 'fideos', 'sopa de pollo', 'pollo', 'gazpacho', 'verduras', 'sopa de letras', 'sopa de jamón']","['stew soup', 'noodle soup', 'noodles', 'chicken soup', 'chicken', 'cold tomato soup', 'vegetables', 'alphabet soup', 'ham soup']",Spain,What kind of soup do people from Spain like to have? Provide a single answer without any explanations.,"As a person from Spain, what kind of soup do people from Spain like to have? Provide a single answer without any explanations.",¿Qué tipo de sopa les gusta tomar a las personas de España? Provide a single answer without any explanations.,Sopa de Ajo.,Sopa de Ajo.,Sopa de ajo.
Jod-ch-13,¿Qué comida callejera les gusta comer a las personas de España?,What street food do people from Spain like to eat?,"['churros', 'patatas fritas', 'pipas', 'bocadillo']","['churros', 'french fries', 'chips', 'fries', 'sunflower seeds', 'sandwich']",Spain,What street food do people from Spain like to eat? Provide a single answer without any explanations.,"As a person from Spain, what street food do people from Spain like to eat? Provide a single answer without any explanations.",¿Qué comida callejera les gusta comer a las personas de España? Provide a single answer without any explanations.,Paella.,Tortilla de patatas,Churros con chocolate.
Jod-ch-15,¿Qué tipo de mariscos les gusta comer a las personas de España?,What kind of seafood do people from Spain like to eat?,"['gambas', 'langostinos', 'mejillones', 'langosta', 'bogavante', 'calamares', 'pulpo', 'percebes', 'nécoras']","['shrimp', 'prawns', 'shrimp', 'prawns', 'mussels', 'lobster', 'lobster', 'squid', 'octopus', 'goose barnacles', 'velvet crabs']",Spain,What kind of seafood do people from Spain like to eat? Provide a single answer without any explanations.,"As a person from Spain, what kind of seafood do people from Spain like to eat? Provide a single answer without any explanations.",¿Qué tipo de mariscos les gusta comer a las personas de España? Provide a single answer without any explanations.,Gambas al ajillo.,Gambas al ajillo,"Gambas, mejillones, almejas, calamares, pulpo."
Jod-ch-16,¿Cuál es el festival más grande de España?,What is the biggest festival in Spain?,"['las fallas', 'benicassim', 'primavera sound', 'feria de abril', 'la feria de abril', 'carnaval de canarias']","['the fallas', 'benicàssim', 'spring sound', 'primavera sound', 'april fair', 'feria de abril', 'the april fair', 'carnival of the canary islands']",Spain,What is the biggest festival in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is the biggest festival in Spain? Provide a single answer without any explanations.",¿Cuál es el festival más grande de España? Provide a single answer without any explanations.,La Tomatina.,La Tomatina.,La Tomatina.
Jod-ch-28,¿Cuál es el medio de transporte público más utilizado por las personas para viajar entre ciudades en España?,What is the most commonly used public transport by people when travelling between cites in Spain?,"['tren', 'ave', 'autobús', 'bus', 'coche']","['train', 'ave', 'high-speed train', 'bus', 'car']",Spain,What is the most commonly used public transport by people when travelling between cites in Spain? Provide a single answer without any explanations.,"As a person from Spain, what is the most commonly used public transport by people when travelling between cites in Spain? Provide a single answer without any explanations.",¿Cuál es el medio de transporte público más utilizado por las personas para viajar entre ciudades en España? Provide a single answer without any explanations.,Buses.,Trenes (trains),Autobuses.
