question_id,local_question,en_question,local_answer_valid,en_answer_valid,country,control_prompts,persona_prompts,language_prompts
Jod-ch-51,Ποιο είναι το πιο συνηθισμένο μέσο μεταφοράς που χρησιμοποιούν οι άνθρωποι για να πάνε στη δουλειά στην Ελλάδα;,What is the most common transportation that people take to get to work in Greece?,"['μετρό', 'αυτοκίνητο', 'αμάξι', 'λεωφορείο']","['metro', 'car', 'bus']",Greece,What is the most common transportation that people take to get to work in Greece? Provide a single answer without any explanations.,"As a person from Greece, what is the most common transportation that people take to get to work in Greece? Provide a single answer without any explanations.",Ποιο είναι το πιο συνηθισμένο μέσο μεταφοράς που χρησιμοποιούν οι άνθρωποι για να πάνε στη δουλειά στην Ελλάδα; Provide a single answer without any explanations.
Jod-ch-54,"Πόσο διαρκεί (σε ημέρες) η άδεια γάμου στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (π.χ., 12).)","How long (in days) is the marriage leave in Greece? (Provide Arabic numerals (e.g., 12) only.)","['6', '5', '7', '14']","['6', '5', '7', '14']",Greece,"How long (in days) is the marriage leave in Greece? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","As a person from Greece, how long (in days) is the marriage leave in Greece? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","Πόσο διαρκεί (σε ημέρες) η άδεια γάμου στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (π.χ., 12).) Provide a single answer without any explanations."
Jod-ch-56,"Ποια είναι η τυπική ηλικία συνταξιοδότησης για τις γυναίκες στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (π.χ., 12).)","What is the typical retirement age for women in Greece? (Provide Arabic numerals (e.g., 12) only.)","['67', '68', '62', '64']","['67', '68', '62', '64']",Greece,"What is the typical retirement age for women in Greece? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","As a person from Greece, what is the typical retirement age for women in Greece? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","Ποια είναι η τυπική ηλικία συνταξιοδότησης για τις γυναίκες στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (π.χ., 12).) Provide a single answer without any explanations."
Jod-ch-57,"Ποια είναι η τυπική ηλικία συνταξιοδότησης για τους άνδρες στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (π.χ., 12).)","What is the typical retirement age for men in Greece? (Provide Arabic numerals (e.g., 12) only.)","['67', '65', '62']","['67', '65', '62']",Greece,"What is the typical retirement age for men in Greece? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","As a person from Greece, what is the typical retirement age for men in Greece? (Provide Arabic numerals (e.g., 12) only.) Provide a single answer without any explanations.","Ποια είναι η τυπική ηλικία συνταξιοδότησης για τους άνδρες στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (π.χ., 12).) Provide a single answer without any explanations."
Jod-ch-58,Ποιά είναι η πιο σεβαστή επαγγελματική ιδιότητα στην Ελλάδα;,Which profession is the most respected in Greece?,"['γιατρός', 'δικηγόρος', 'πυροσβέστης']","['doctor', 'lawyer', 'firefighter']",Greece,Which profession is the most respected in Greece? Provide a single answer without any explanations.,"As a person from Greece, which profession is the most respected in Greece? Provide a single answer without any explanations.",Ποιά είναι η πιο σεβαστή επαγγελματική ιδιότητα στην Ελλάδα; Provide a single answer without any explanations.
Jod-ch-60,Ποια είναι η διάρκεια (σε ώρες) μιας τυπικής εργάσιμης ημέρας στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (0~24).),What is the duration (in hours) of a typical workday in Greece? (Provide Arabic numerals (0~24) only.),"['8', '9', '10']","['8', '9', '10']",Greece,What is the duration (in hours) of a typical workday in Greece? (Provide Arabic numerals (0~24) only.) Provide a single answer without any explanations.,"As a person from Greece, what is the duration (in hours) of a typical workday in Greece? (Provide Arabic numerals (0~24) only.) Provide a single answer without any explanations.",Ποια είναι η διάρκεια (σε ώρες) μιας τυπικής εργάσιμης ημέρας στην Ελλάδα; (Χρησιμοποιείστε μόνο αραβικούς αριθμούς (0~24).) Provide a single answer without any explanations.
Jod-ch-61,Ποιά είναι η πιο προτιμώμενη επαγγελματική ασχολία από τις γυναίκες στην Ελλάδα;,Which occupation is most preferred among females in Greece?,"['εκπαιδευτικός', 'δασκάλα', 'ψυχολόγος', 'φαρμακοποιός', 'κομμώτριες', 'κομμώτρια', 'γραμματέας', 'γραμματεία']","['educator', 'teacher', 'psychologist', 'pharmacist', 'hairdressers', 'secretariat']",Greece,Which occupation is most preferred among females in Greece? Provide a single answer without any explanations.,"As a person from Greece, which occupation is most preferred among females in Greece? Provide a single answer without any explanations.",Ποιά είναι η πιο προτιμώμενη επαγγελματική ασχολία από τις γυναίκες στην Ελλάδα; Provide a single answer without any explanations.
Jod-ch-62,Ποιά είναι η πιο προτιμώμενη επαγγελματική ασχολία ανάμεσα στους άνδρες στην Ελλάδα;,Which occupation is most preferred among males in Greece?,"['γιατρός', 'πολιτκός μηχανικός', 'δημόσιος υπάλληλος', 'σερβιτόρος', 'σερβιτόροι']","['doctor', 'civil engineer', 'public servant', 'waiters']",Greece,Which occupation is most preferred among males in Greece? Provide a single answer without any explanations.,"As a person from Greece, which occupation is most preferred among males in Greece? Provide a single answer without any explanations.",Ποιά είναι η πιο προτιμώμενη επαγγελματική ασχολία ανάμεσα στους άνδρες στην Ελλάδα; Provide a single answer without any explanations.
Ki-pe-17,"Κατά μέσο όρο, μέχρι ποιο στάδιο συνήθως φτάνουν οι μαθητές στην εκπαίδευσή τους στην Ελλάδα; (π.χ. δημοτικό, λύκειο)","On average, how far do students typically pursue their education in Greece? (e.g., elementary, high school)","['λύκειο', 'γυμνάσιο', 'δημοτικό', 'Πολυτεχνείο', 'Πανεπισήμιο', 'ΑΕΙ']","['high school', 'gymnasium', 'elementary', 'university']",Greece,"On average, how far do students typically pursue their education in Greece? (e.g., elementary, high school) Provide a single answer without any explanations.","As a person from Greece, on average, how far do students typically pursue their education in Greece? (e.g., elementary, high school) Provide a single answer without any explanations.","Κατά μέσο όρο, μέχρι ποιο στάδιο συνήθως φτάνουν οι μαθητές στην εκπαίδευσή τους στην Ελλάδα; (π.χ. δημοτικό, λύκειο) Provide a single answer without any explanations."
Ki-pe-24,Ποια γλώσσα διδάσκεται στα σχολεία στην Ελλάδα πέρα από τα Αγγλικά;,What language is taught in schools in Greece besides English?,"['γερμανικά', 'γαλλικά', 'ελληνικά']","['german', 'french', 'greek']",Greece,What language is taught in schools in Greece besides English? Provide a single answer without any explanations.,"As a person from Greece, what language is taught in schools in Greece besides English? Provide a single answer without any explanations.",Ποια γλώσσα διδάσκεται στα σχολεία στην Ελλάδα πέρα από τα Αγγλικά; Provide a single answer without any explanations.
Ki-pe-30,Ποιες μέρες της εβδομάδας είναι κλειστά τα σχολεία στην Ελλάδα;,What days of the week are schools closed in Greece?,"['Σάββατο', 'Κυριακή']","['saturday', 'sunday']",Greece,What days of the week are schools closed in Greece? Provide a single answer without any explanations.,"As a person from Greece, what days of the week are schools closed in Greece? Provide a single answer without any explanations.",Ποιες μέρες της εβδομάδας είναι κλειστά τα σχολεία στην Ελλάδα; Provide a single answer without any explanations.
Ki-pe-32,Τι φαγητό συνήθως ετοιμάζουν οι οικοδεσπότες για τους καλεσμένους στην Ελλάδα;,What food do the hosts usually prepare for the guests in Greece?,"['σαλάτα', 'σαλάτες', 'μουσακά', 'κρέας', 'μακαρόνια', 'πατάτες τηγανητές', 'τζατζίκι', 'τυροκαυτερή', 'κρέας στο φούρνο', 'κοτόπουλο στο φούρνο', 'μπριζόλες', 'πανσέτες', 'φέτα']","['feta and salad', 'salads', 'moussaka', 'meat', 'pasta', 'french fries', 'tzatziki', 'spicy cheese dip', 'oven baked meat', 'oven baked chicken', 'pork chops', 'pork belly', 'feta and salad']",Greece,What food do the hosts usually prepare for the guests in Greece? Provide a single answer without any explanations.,"As a person from Greece, what food do the hosts usually prepare for the guests in Greece? Provide a single answer without any explanations.",Τι φαγητό συνήθως ετοιμάζουν οι οικοδεσπότες για τους καλεσμένους στην Ελλάδα; Provide a single answer without any explanations.
Ki-pe-34,Ποιο είναι το συνηθισμένο ποτό στο πρωινό στην Ελλάδα;,What is the usual drink in the breakfast in Greece?,"['καφές', 'γάλα']","['coffee', 'milk']",Greece,What is the usual drink in the breakfast in Greece? Provide a single answer without any explanations.,"As a person from Greece, what is the usual drink in the breakfast in Greece? Provide a single answer without any explanations.",Ποιο είναι το συνηθισμένο ποτό στο πρωινό στην Ελλάδα; Provide a single answer without any explanations.
Ki-pe-36,"Εκτός από τα φαγητά Ελληνικής προέλευσης, ποιας χώρας το φαγητό είναι πιο δημοφιλές στην Ελλάδα;","Except the food original from Greece, which country's food is more popular in Greece?","['Ιταλία', 'Ασιατική']","['italian cuisine', 'italy', 'asian']",Greece,"Except the food original from Greece, which country's food is more popular in Greece? Provide a single answer without any explanations.","As a person from Greece, except the food original from Greece, which country's food is more popular in Greece? Provide a single answer without any explanations.","Εκτός από τα φαγητά Ελληνικής προέλευσης, ποιας χώρας το φαγητό είναι πιο δημοφιλές στην Ελλάδα; Provide a single answer without any explanations."
Ki-pe-39,Τι φαγητό συνήθως ετοιμάζεται για ένα οικογενειακό πικνίκ στην Ελλάδα;,What food is usually prepared for a family picnic in Greece?,"['κρύο σάντουιτς', 'σάντουιτς', 'τοστ', 'κρέας ψητό', 'παστίτσιο', 'μουσακά', 'κεφτεδάκια', 'χωριάτικη σαλάτα']","['cold sandwich', 'sandwich', 'toast', 'roast meat', 'pastitsio', 'moussaka', 'meatballs', 'greek salad']",Greece,What food is usually prepared for a family picnic in Greece? Provide a single answer without any explanations.,"As a person from Greece, what food is usually prepared for a family picnic in Greece? Provide a single answer without any explanations.",Τι φαγητό συνήθως ετοιμάζεται για ένα οικογενειακό πικνίκ στην Ελλάδα; Provide a single answer without any explanations.
Ki-pe-40,Ποιο φαγητό από την Ελλάδα θεωρείται αηδιαστικό από τον υπόλοιπο κόσμο;,Which food from Greece is considered disgusting by the rest of the world?,"['κοκορέτσι', 'πατσάς', 'αμελέτητα', 'σαλιγκάρια']","['kokoretsi', 'tripe soup', 'unstudied', 'snails']",Greece,Which food from Greece is considered disgusting by the rest of the world? Provide a single answer without any explanations.,"As a person from Greece, which food from Greece is considered disgusting by the rest of the world? Provide a single answer without any explanations.",Ποιο φαγητό από την Ελλάδα θεωρείται αηδιαστικό από τον υπόλοιπο κόσμο; Provide a single answer without any explanations.
Ki-pe-43,Πώς ονομάζεται το πιο δημοφιλές ψωμί στην Ελλάδα;,What is the name of the popular bread in Greece?,"['μπαγκέτα', 'προζυμένιο', 'πολύσπορο', 'Καραμολέγκος']","['baguette', 'sourdough', 'multigrain', 'κaramolegos']",Greece,What is the name of the popular bread in Greece? Provide a single answer without any explanations.,"As a person from Greece, what is the name of the popular bread in Greece? Provide a single answer without any explanations.",Πώς ονομάζεται το πιο δημοφιλές ψωμί στην Ελλάδα; Provide a single answer without any explanations.
Ki-pe-51,"Τι ώρα κλείνουν τα κρατικά γραφεία στην Ελλάδα; (Απαντήστε σε μορφή ΩΩ:ΛΛ, π.χ., 18:00, 09:00).","What time of day are government offices closed in Greece? (Provide in HH:MM format (e.g., 18:00, 09:00).)","['14:00', '13:00']","['14:00', '13:00']",Greece,"What time of day are government offices closed in Greece? (Provide in HH:MM format (e.g., 18:00, 09:00).) Provide a single answer without any explanations.","As a person from Greece, what time of day are government offices closed in Greece? (Provide in HH:MM format (e.g., 18:00, 09:00).) Provide a single answer without any explanations.","Τι ώρα κλείνουν τα κρατικά γραφεία στην Ελλάδα; (Απαντήστε σε μορφή ΩΩ:ΛΛ, π.χ., 18:00, 09:00). Provide a single answer without any explanations."
Ki-pe-53,"Ποια είναι η κανονική ώρα έναρξης των κρατικών γραφείων στην Ελλάδα; (Απαντήστε σε μορφή ΩΩ:ΛΛ, π.χ., 18:00, 09:00).","What is the normal start time of government offices in Greece? (Provide in HH:MM format (e.g., 18:00, 09:00).)","['09:00', '08:00']","['09:00', '08:00']",Greece,"What is the normal start time of government offices in Greece? (Provide in HH:MM format (e.g., 18:00, 09:00).) Provide a single answer without any explanations.","As a person from Greece, what is the normal start time of government offices in Greece? (Provide in HH:MM format (e.g., 18:00, 09:00).) Provide a single answer without any explanations.","Ποια είναι η κανονική ώρα έναρξης των κρατικών γραφείων στην Ελλάδα; (Απαντήστε σε μορφή ΩΩ:ΛΛ, π.χ., 18:00, 09:00). Provide a single answer without any explanations."
Kik-in-01,Ποια εθνική αργία έχει τη μεγαλύτερη διάρκεια στην Ελλάδα;,What national holiday has the longest duration in Greece?,"['Πάσχα', 'Χριστούγεννα']","['easter', 'christmas']",Greece,What national holiday has the longest duration in Greece? Provide a single answer without any explanations.,"As a person from Greece, what national holiday has the longest duration in Greece? Provide a single answer without any explanations.",Ποια εθνική αργία έχει τη μεγαλύτερη διάρκεια στην Ελλάδα; Provide a single answer without any explanations.
Kik-in-02,Ποιες είναι οι συνηθισμένες δραστηριότητες που κάνουν οι Έλληνες για να γιορτάσουν την Ημέρα της Ανεξαρτησίας;,What are the common activities people from Greece do to celebrate Independence day?,"['παρευρίσκονται στην παρέλαση', 'παρέλαση', 'τρώνε έξω', 'ξεκούραση']","['are present at the parade', 'parade', 'eating out', 'rest']",Greece,What are the common activities people from Greece do to celebrate Independence day? Provide a single answer without any explanations.,"As a person from Greece, what are the common activities people from Greece do to celebrate Independence day? Provide a single answer without any explanations.",Ποιες είναι οι συνηθισμένες δραστηριότητες που κάνουν οι Έλληνες για να γιορτάσουν την Ημέρα της Ανεξαρτησίας; Provide a single answer without any explanations.
Kik-in-04,Τι τοποθετείται μπροστά από το σπίτι όταν πεθαίνει ένα μέλος της οικογένειας στην Ελλάδα;,What is installed in front of the house when a family member dies in Greece?,"['κηδειοχαρτο', 'κηδειόχαρτο', 'χαρτί', 'η κάσα', 'φέρετρο']","['obituary', 'coffin']",Greece,What is installed in front of the house when a family member dies in Greece? Provide a single answer without any explanations.,"As a person from Greece, what is installed in front of the house when a family member dies in Greece? Provide a single answer without any explanations.",Τι τοποθετείται μπροστά από το σπίτι όταν πεθαίνει ένα μέλος της οικογένειας στην Ελλάδα; Provide a single answer without any explanations.
Kik-in-05,Πότε συνήθως γίνεται η γιορτή ή η τελετή για την εγκυμοσύνη στην Ελλάδα;,When is a pregnancy celebration or ceremony usually held in Greece?,[],[],Greece,When is a pregnancy celebration or ceremony usually held in Greece? Provide a single answer without any explanations.,"As a person from Greece, when is a pregnancy celebration or ceremony usually held in Greece? Provide a single answer without any explanations.",Πότε συνήθως γίνεται η γιορτή ή η τελετή για την εγκυμοσύνη στην Ελλάδα; Provide a single answer without any explanations.
Kik-in-06,Ποια εκδήλωση συνήθως πραγματοποιείται πριν από έναν γάμο στην Ελλάδα;,What event is usually held before a wedding in Greece?,"['αρραβώνας', 'μπάτσελορ', 'το στρώσιμο του κρεβατιού']","['engagement', 'bachelor party', 'the making of the bed']",Greece,What event is usually held before a wedding in Greece? Provide a single answer without any explanations.,"As a person from Greece, what event is usually held before a wedding in Greece? Provide a single answer without any explanations.",Ποια εκδήλωση συνήθως πραγματοποιείται πριν από έναν γάμο στην Ελλάδα; Provide a single answer without any explanations.
Kik-in-07,Τι συνήθως μοιράζεται στα παιδιά κατά τη διάρκεια του (Λουνάρ) Νέου Έτους στην Ελλάδα;,What is usually shared to the children during (Lunar) New Year in Greece?,"['βασιλόπιτα', 'παιχνίδια']","['vasilopita', 'games']",Greece,What is usually shared to the children during (Lunar) New Year in Greece? Provide a single answer without any explanations.,"As a person from Greece, what is usually shared to the children during (Lunar) New Year in Greece? Provide a single answer without any explanations.",Τι συνήθως μοιράζεται στα παιδιά κατά τη διάρκεια του (Λουνάρ) Νέου Έτους στην Ελλάδα; Provide a single answer without any explanations.
Kik-in-08,Ποιες δραστηριότητες συνήθως γίνονται λίγες μέρες πριν από το Ραμαζάνι στην Ελλάδα;,What activities are usually done days before Ramadan in Greece?,[],[],Greece,What activities are usually done days before Ramadan in Greece? Provide a single answer without any explanations.,"As a person from Greece, what activities are usually done days before Ramadan in Greece? Provide a single answer without any explanations.",Ποιες δραστηριότητες συνήθως γίνονται λίγες μέρες πριν από το Ραμαζάνι στην Ελλάδα; Provide a single answer without any explanations.
Kik-in-10,Ποιο είναι το πιο δημοφιλές τουριστικό αξιοθέατο για τους ξένους επισκέπτες στην Ελλάδα;,What is the most popular tourist attraction for foreign visitors in Greece?,"['Ακρόπολη', 'Παρθενώνας', 'Παρθενωνας', 'νησιά', 'παραλίες']","['acropolis', 'parthenon', 'islands', 'beaches']",Greece,What is the most popular tourist attraction for foreign visitors in Greece? Provide a single answer without any explanations.,"As a person from Greece, what is the most popular tourist attraction for foreign visitors in Greece? Provide a single answer without any explanations.",Ποιο είναι το πιο δημοφιλές τουριστικό αξιοθέατο για τους ξένους επισκέπτες στην Ελλάδα; Provide a single answer without any explanations.
Kik-in-11,"Ποιοι είναι οι πιο δημοφιλείς θρησκευτικοί χώροι (ναός, εκκλησία κλπ.) για τουρισμό στην Ελλάδα;","What is the most popular religious sites (temple, church, etc.) for tourism in Greece?","['Άγιο Όρος', 'αρχαίοι ναοί', 'αρχαιοελληνικοί ναοί', 'μοναστήρια', 'Μετέωρα', 'εκκλησιά']","['mount athos', 'ancient temples', 'ancient greek temples', 'monasteries', 'meteora', 'church']",Greece,"What is the most popular religious sites (temple, church, etc.) for tourism in Greece? Provide a single answer without any explanations.","As a person from Greece, what is the most popular religious sites (temple, church, etc.) for tourism in Greece? Provide a single answer without any explanations.","Ποιοι είναι οι πιο δημοφιλείς θρησκευτικοί χώροι (ναός, εκκλησία κλπ.) για τουρισμό στην Ελλάδα; Provide a single answer without any explanations."
Kik-in-15,Τι ρούχα φορούν συνήθως οι γυναίκες στην τελετή αποφοίτησης στην Ελλάδα;,What clothes do women usually wear on graduation commencement ceremony in Greece?,"['ταγέρ', 'τήβεννο', 'τήβεννος', 'επίσημα', 'φόρεμα']","['suit', 'graduation gown', 'smart dressing', 'dress']",Greece,What clothes do women usually wear on graduation commencement ceremony in Greece? Provide a single answer without any explanations.,"As a person from Greece, what clothes do women usually wear on graduation commencement ceremony in Greece? Provide a single answer without any explanations.",Τι ρούχα φορούν συνήθως οι γυναίκες στην τελετή αποφοίτησης στην Ελλάδα; Provide a single answer without any explanations.
Kik-in-16,Ποιο ποτό καταναλώνεται συνήθως στην Ελλάδα όταν ο καιρός είναι κρύος;,What drink is commonly consumed in Greece when the weather is cold?,"['τσίπουρο', 'ούζο', 'κρασί', 'ρακόμελο', 'ρακί']","['tsipouro', 'ouzo', 'wine', 'rakomelo', 'raki']",Greece,What drink is commonly consumed in Greece when the weather is cold? Provide a single answer without any explanations.,"As a person from Greece, what drink is commonly consumed in Greece when the weather is cold? Provide a single answer without any explanations.",Ποιο ποτό καταναλώνεται συνήθως στην Ελλάδα όταν ο καιρός είναι κρύος; Provide a single answer without any explanations.
Kik-in-17,Ποιο φρούτο πωλείται και βρίσκεται συχνότερα κατά τη διάρκεια του Ραμαζανιού στην Ελλάδα;,What fruit is more commonly sold and found during Ramadan in Greece?,['φράουλες'],['strawberries'],Greece,What fruit is more commonly sold and found during Ramadan in Greece? Provide a single answer without any explanations.,"As a person from Greece, what fruit is more commonly sold and found during Ramadan in Greece? Provide a single answer without any explanations.",Ποιο φρούτο πωλείται και βρίσκεται συχνότερα κατά τη διάρκεια του Ραμαζανιού στην Ελλάδα; Provide a single answer without any explanations.
Kik-in-24,Ποιο υδατάνθρακα συνήθως σερβίρεται με κοτόπουλο σε ένα fast-food εστιατόριο στην Ελλάδα;,What carbohydrate is usually served with chicken in a fast-food restaurant in Greece?,"['τηγανιτές πατάτες', 'τηγανητές πατάτες', 'πατατες τηγανητες', 'πατάτες', 'ρύζι']","['french fries', 'potatoes', 'rice']",Greece,What carbohydrate is usually served with chicken in a fast-food restaurant in Greece? Provide a single answer without any explanations.,"As a person from Greece, what carbohydrate is usually served with chicken in a fast-food restaurant in Greece? Provide a single answer without any explanations.",Ποιο υδατάνθρακα συνήθως σερβίρεται με κοτόπουλο σε ένα fast-food εστιατόριο στην Ελλάδα; Provide a single answer without any explanations.
Kik-in-31,Ποιο είναι το πιο διάσημο πολεμικό άθλημα στην Ελλάδα;,What is the most famous martial art sports in Greece?,"['πυγμαχία', 'μποξ', 'καράτε', 'ξιφομαχία']","['boxing', 'karate', 'fencing']",Greece,What is the most famous martial art sports in Greece? Provide a single answer without any explanations.,"As a person from Greece, what is the most famous martial art sports in Greece? Provide a single answer without any explanations.",Ποιο είναι το πιο διάσημο πολεμικό άθλημα στην Ελλάδα; Provide a single answer without any explanations.
Kik-in-34,Ποια αθλήματα μεταδίδονται συχνά στην εθνική τηλεόραση στην Ελλάδα;,What sports are often broadcasted on national television in Greece?,"['ποδόσφαιρο', 'μπάσκετ', 'βόλεϊ']","['soccer', 'football', 'basketball', 'volleyball']",Greece,What sports are often broadcasted on national television in Greece? Provide a single answer without any explanations.,"As a person from Greece, what sports are often broadcasted on national television in Greece? Provide a single answer without any explanations.",Ποια αθλήματα μεταδίδονται συχνά στην εθνική τηλεόραση στην Ελλάδα; Provide a single answer without any explanations.
Kik-in-35,Ποια αθλήματα ήταν δημοφιλή μεταξύ των ανθρώπων από την Ελλάδα κατά τη διάρκεια της πανδημίας COVID-19;,What sports were popular among people from Greece during the COVID-19 pandemic?,"['ποδόσφαιρο', 'τρέξιμο', 'μπάσκετ', 'τένις']","['soccer', 'football', 'running', 'basketball', 'tennis']",Greece,What sports were popular among people from Greece during the COVID-19 pandemic? Provide a single answer without any explanations.,"As a person from Greece, what sports were popular among people from Greece during the COVID-19 pandemic? Provide a single answer without any explanations.",Ποια αθλήματα ήταν δημοφιλή μεταξύ των ανθρώπων από την Ελλάδα κατά τη διάρκεια της πανδημίας COVID-19; Provide a single answer without any explanations.
Kik-in-36,Ποιος είναι ο πιο δημοφιλής προπονητής ποδοσφαίρου στην Ελλάδα;,Who is the most popular soccer coach in Greece?,"['Φατίχ Τερίμ', 'Λουτσέσκου', 'Ντιέγκο Σιμεόνε', 'Μπαρτζώκας', 'Αταμάν']","['fatih terim', '', 'lucescu', 'diego simeone', 'bartzokas', 'ataman']",Greece,Who is the most popular soccer coach in Greece? Provide a single answer without any explanations.,"As a person from Greece, who is the most popular soccer coach in Greece? Provide a single answer without any explanations.",Ποιος είναι ο πιο δημοφιλής προπονητής ποδοσφαίρου στην Ελλάδα; Provide a single answer without any explanations.
Kik-in-37,Ποιες ποδοσφαιρικές ομάδες στην Ελλάδα είναι διάσημες για τον έντονο ανταγωνισμό τους; (π.χ. ___ έναντι ___),What soccer teams in Greece are famous for their intense rivalry? (e.g. ___ vs ___),"['Παναθηναϊκός έναντι Ολυμπιακού', 'Ολυμπιακός έναντι Παναθηναϊκός', 'ΑΕΚ έναντι ΠΑΟΚ']","['panathinaikos against olympiacos', 'olympiacos versus panathinaikos', 'aek vs paok']",Greece,What soccer teams in Greece are famous for their intense rivalry? (e.g. ___ vs ___) Provide a single answer without any explanations.,"As a person from Greece, what soccer teams in Greece are famous for their intense rivalry? (e.g. ___ vs ___) Provide a single answer without any explanations.",Ποιες ποδοσφαιρικές ομάδες στην Ελλάδα είναι διάσημες για τον έντονο ανταγωνισμό τους; (π.χ. ___ έναντι ___) Provide a single answer without any explanations.
Kik-in-38,Πώς λέγονται οι οπαδοί του ποδοσφαίρου στην Ελλάδα που είναι διάσημοι για τον έντονο ανταγωνισμό τους; (π.χ. ___ έναντι ___),What are the names of soccer supporters in Greece who are famous for their intense rivalry? (e.g. ___ vs ___),"['φανατικοί', 'γαύροι', 'αεκτζήδες']","['fanatics', 'gavroi', 'aektzides']",Greece,What are the names of soccer supporters in Greece who are famous for their intense rivalry? (e.g. ___ vs ___) Provide a single answer without any explanations.,"As a person from Greece, what are the names of soccer supporters in Greece who are famous for their intense rivalry? (e.g. ___ vs ___) Provide a single answer without any explanations.",Πώς λέγονται οι οπαδοί του ποδοσφαίρου στην Ελλάδα που είναι διάσημοι για τον έντονο ανταγωνισμό τους; (π.χ. ___ έναντι ___) Provide a single answer without any explanations.
Kik-in-40,Ποιος είναι ο πιο διάσημος ανδρικός παίκτης μπάντμιντον στην Ελλάδα;,Who is the most famous male badminton player in Greece?,[],[],Greece,Who is the most famous male badminton player in Greece? Provide a single answer without any explanations.,"As a person from Greece, who is the most famous male badminton player in Greece? Provide a single answer without any explanations.",Ποιος είναι ο πιο διάσημος ανδρικός παίκτης μπάντμιντον στην Ελλάδα; Provide a single answer without any explanations.
Kik-in-41,Ποια είναι η πιο διάσημη γυναίκα παίκτρια του μπάντμιντον στην Ελλάδα;,Who is the most famous female badminton player in Greece?,[],[],Greece,Who is the most famous female badminton player in Greece? Provide a single answer without any explanations.,"As a person from Greece, who is the most famous female badminton player in Greece? Provide a single answer without any explanations.",Ποια είναι η πιο διάσημη γυναίκα παίκτρια του μπάντμιντον στην Ελλάδα; Provide a single answer without any explanations.
Kik-in-44,Ποιο άθλημα λαμβάνει την περισσότερη υποστήριξη από την κυβέρνηση στην Ελλάδα;,What sport gets the most support from the government in Greece?,"['ποδόσφαιρο', 'μπάσκετ', 'κανένα', 'στίβος']","['soccer', 'football', 'basketball', 'none', 'track and field']",Greece,What sport gets the most support from the government in Greece? Provide a single answer without any explanations.,"As a person from Greece, what sport gets the most support from the government in Greece? Provide a single answer without any explanations.",Ποιο άθλημα λαμβάνει την περισσότερη υποστήριξη από την κυβέρνηση στην Ελλάδα; Provide a single answer without any explanations.
Kik-in-45,Ποιες εγκαταστάσεις αθλητικών γηπέδων είναι συνήθως διαθέσιμες στα σχολεία στην Ελλάδα;,What sports field facilities are usually available at schools in Greece?,"['μπάσκετ', 'γήπεδο μπάσκετ', 'ποδόσφαιρο', 'ποδοσφαίρου', 'βόλεϊ']","['basketball', 'basketball court', 'soccer', 'football', 'volleyball']",Greece,What sports field facilities are usually available at schools in Greece? Provide a single answer without any explanations.,"As a person from Greece, what sports field facilities are usually available at schools in Greece? Provide a single answer without any explanations.",Ποιες εγκαταστάσεις αθλητικών γηπέδων είναι συνήθως διαθέσιμες στα σχολεία στην Ελλάδα; Provide a single answer without any explanations.
Na-ko-02,Ποιο ρόφημα καφενείου απολαμβάνουν πιο συχνά οι Έλληνες;,What cafe beverage do people from Greece most commonly enjoy?,"['φραπές', 'φραπέ', 'καφές', 'καφέ', 'fredo espresso', 'φρέντο εσπρέσσο', 'espresso freddo', 'ελληνικός καφές']","['frappe', 'coffee', 'freddo espresso', 'cold espresso', 'greek coffee']",Greece,What cafe beverage do people from Greece most commonly enjoy? Provide a single answer without any explanations.,"As a person from Greece, what cafe beverage do people from Greece most commonly enjoy? Provide a single answer without any explanations.",Ποιο ρόφημα καφενείου απολαμβάνουν πιο συχνά οι Έλληνες; Provide a single answer without any explanations.
Na-ko-04,Ποια είναι η προτιμώμενη τροφή για τη θεραπεία του hangover για τους ανθρώπους από την Ελλάδα;,What is the preferred hangover cure food for people from Greece?,"['πατσάς', 'αυγά', 'ηλεκτρολύτες', 'μήλα']","['tripe soup', 'eggs', 'electrolytes', 'apples']",Greece,What is the preferred hangover cure food for people from Greece? Provide a single answer without any explanations.,"As a person from Greece, what is the preferred hangover cure food for people from Greece? Provide a single answer without any explanations.",Ποια είναι η προτιμώμενη τροφή για τη θεραπεία του hangover για τους ανθρώπους από την Ελλάδα; Provide a single answer without any explanations.
